gene,FDR,coef,diff_exp,chromosome,species
AFF2,1.44E-17,1.830082269,X,X,Human
AKAP14,1.45E-09,1.262763501,X,X,Human
AKAP4,3.22E-12,1.192036551,X,X,Human
ALG13,4.99E-08,1.123087421,X,X,Human
ARL13A,5.96E-07,1.311634434,X,X,Human
ARMCX4,7.22E-05,1.612144386,X,X,Human
ATP11C,2.44E-09,1.168978529,X,X,Human
ATRX,1.55E-13,2.241929319,X,X,Human
BCLAF3,2.61E-09,1.404699289,X,X,Human
BRWD3,6.67E-07,1.449236895,X,X,Human
CDKL5,7.48E-21,1.638175548,X,X,Human
CETN2,0.0001151301302,1.277641619,X,X,Human
CFAP47,1.90E-39,1.829448378,X,X,Human
CHIC1,7.64E-05,1.892242199,X,X,Human
COL4A6,5.68E-12,1.689407113,X,X,Human
CPXCR1,7.11E-07,1.634333261,X,X,Human
CTPS2,4.94E-08,1.256233991,X,X,Human
CUL4B,1.12E-11,1.458422624,X,X,Human
CXorf65,0.001846894029,1.574632381,X,X,Human
CYLC1,3.30E-37,2.351445179,X,X,Human
DIAPH2,2.51E-61,3.93859013,X,X,Human
DYNLT3,2.63E-16,1.751855759,X,X,Human
EDA,1.04E-41,2.615515508,X,X,Human
EFHC2,7.66E-38,2.106414171,X,X,Human
EIF1AX,2.57E-10,1.454062921,X,X,Human
EMD,2.53E-15,1.358174388,X,X,Human
ENOX2,0.0009555815601,1.320813681,X,X,Human
FHL1,7.48E-21,2.166314706,X,X,Human
FTSJ1,1.47E-10,1.901096015,X,X,Human
GABRA3,0.009300870808,1.033434568,X,X,Human
GATA1,4.55E-35,2.329442255,X,X,Human
GLA,8.05E-05,1.958305042,X,X,Human
GLOD5,1.74E-44,2.730212061,X,X,Human
HDAC6,1.65E-30,1.369418013,X,X,Human
HTR2C,5.09E-16,2.14632137,X,X,Human
HUWE1,2.27E-17,1.185143775,X,X,Human
IGBP1,8.89E-13,1.10523661,X,X,Human
IL13RA2,1.08E-13,1.407416499,X,X,Human
IQSEC2,1.25E-08,1.492569125,X,X,Human
KDM6A,0.0002338462772,1.076360631,X,X,Human
LAMP2,0.0004979558721,1.053609343,X,X,Human
LAS1L,3.53E-12,1.135526407,X,X,Human
MAP7D3,1.05E-13,1.633712989,X,X,Human
MCTS1,0.0006921949612,1.156777697,X,X,Human
MED14,0.008211312526,1.332779147,X,X,Human
MORF4L2,2.85E-08,1.517374279,X,X,Human
MOSPD1,1.21E-06,1.423950268,X,X,Human
MSL3,1.34E-11,2.091897568,X,X,Human
NCBP2L,7.29E-13,1.511945068,X,X,Human
NXT2,0.0003160859341,1.365780842,X,X,Human
OCRL,9.07E-19,1.281079998,X,X,Human
OFD1,5.41E-34,1.94654913,X,X,Human
OPHN1,1.04E-09,1.850878517,X,X,Human
PAK3,0.003401175807,2.216200091,X,X,Human
PCDH11X,1.49E-06,1.011973502,X,X,Human
PCYT1B,6.04E-08,1.19936783,X,X,Human
PDK3,6.96E-22,1.631064228,X,X,Human
PHEX,2.07E-05,1.699043753,X,X,Human
PHF6,0.002687854871,1.183640843,X,X,Human
PHF8,3.21E-30,2.014007811,X,X,Human
PPEF1,3.46E-27,1.969275168,X,X,Human
PRICKLE3,3.61E-34,1.895310242,X,X,Human
PTCHD1,9.10E-06,1.464371043,X,X,Human
PUDP,0.001115111598,1.025090094,X,X,Human
RADX,0.001012964139,1.461602252,X,X,Human
RBM41,1.05E-37,1.890248938,X,X,Human
RLIM,4.57E-10,1.687045292,X,X,Human
RP2,1.63E-05,1.00826446,X,X,Human
RPGR,5.92E-33,2.252548011,X,X,Human
RTL4,8.67E-32,2.461910533,X,X,Human
SCML1,1.10E-20,1.432741362,X,X,Human
SMC1A,1.36E-10,1.296437582,X,X,Human
SSR4,1.60E-08,1.079554967,X,X,Human
SYP,1.08E-17,1.620727211,X,X,Human
SYTL5,3.30E-49,2.914152119,X,X,Human
TAF1,2.00E-11,1.452162781,X,X,Human
TAF7L,0.0007443425303,1.778862133,X,X,Human
TENT5D,3.39E-06,1.102019696,X,X,Human
TEX11,1.24E-14,1.223225018,X,X,Human
THOC2,5.74E-05,1.095897966,X,X,Human
TRMT2B,6.12E-14,1.104395146,X,X,Human
UBA1,0.0003421212293,1.069340448,X,X,Human
UPF3B,3.67E-93,2.520620705,X,X,Human
USP11,0.0002358077123,1.447543147,X,X,Human
USP9X,1.86E-08,1.474660916,X,X,Human
VMA21,0.001599077668,2.151921134,X,X,Human
VSIG1,1.11E-08,1.137766059,X,X,Human
WNK3,4.77E-05,1.477004985,X,X,Human
ZC4H2,6.38E-05,2.198577915,X,X,Human
ZMAT1,2.67E-09,1.049549401,X,X,Human
BEX2 (mc/ampl),2.38E-16,1.43856128,X,X,Human
CLCN4 (mc/ampl),6.17E-06,1.350647824,X,X,Human
CXorf51A (mc/ampl),7.78E-20,2.61679391,X,X,Human
CYBB (mc/ampl),0.004035300292,1.38614607,X,X,Human
DRP2 (mc/ampl),1.40E-26,2.397758236,X,X,Human
FRMPD3 (mc/ampl),1.29E-09,1.368012301,X,X,Human
GK (mc/ampl),3.22E-11,1.740285616,X,X,Human
GPRASP2 (mc/ampl),0.00122558715,1.373576874,X,X,Human
IL1RAPL1 (mc/ampl),7.56E-14,1.679550738,X,X,Human
MID1 (mc/ampl),1.11E-05,1.189635375,X,X,Human
MTMR1 (mc/ampl),1.39E-06,1.110874838,X,X,Human
NXF3 (mc/ampl),3.63E-21,1.936298609,X,X,Human
PABIR2 (mc/ampl),1.85E-16,1.447360709,X,X,Human
PHKA2 (mc/ampl),6.74E-08,1.170808852,X,X,Human
PRKX (mc/ampl),0.001466288741,1.111841342,X,X,Human
RBMX (mc/ampl),0.0004067919887,1.157536849,X,X,Human
SPANXN5 (mc/ampl),3.49E-30,2.975922862,X,X,Human
TMSB15B (mc/ampl),0.00122558715,1.1686852,X,X,Human
TSC22D3 (mc/ampl),5.68E-12,1.08859463,X,X,Human
TSPAN7 (mc/ampl),1.12E-12,1.678469378,X,X,Human
DDX3Y,9.13E-15,-1.42505087,Y,Y,Human
EIF1AY,1.30E-09,-1.128301342,Y,Y,Human
AKAP14,1.31E-09,1.251586557,X,X,Chimpanzee
AKAP4,3.65E-11,1.636475812,X,X,Chimpanzee
ARL13A,0.002352536509,1.505664869,X,X,Chimpanzee
ATG4A,6.32E-05,2.057601506,X,X,Chimpanzee
ATP11C,4.79E-22,1.422678358,X,X,Chimpanzee
BCLAF3,0.001756572178,1.054985322,X,X,Chimpanzee
BRCC3,9.93E-31,2.035440667,X,X,Chimpanzee
BRWD3,7.47E-10,1.380925744,X,X,Chimpanzee
CCDC160,4.93E-25,1.595091873,X,X,Chimpanzee
CCNB3,0.007472521159,1.684775026,X,X,Chimpanzee
CDKL5,1.92E-27,1.583235225,X,X,Chimpanzee
CETN2,1.68E-06,1.425876646,X,X,Chimpanzee
CFAP47,7.16E-63,2.489748867,X,X,Chimpanzee
COX7B,2.35E-05,2.327137454,X,X,Chimpanzee
CPXCR1,7.26E-11,1.153540504,X,X,Chimpanzee
CUL4B,1.05E-22,1.180407824,X,X,Chimpanzee
CXorf65,1.58E-16,2.279017274,X,X,Chimpanzee
CYLC1,1.17E-28,1.595655747,X,X,Chimpanzee
DDX3X,1.32E-27,1.696730518,X,X,Chimpanzee
DIAPH2,3.67E-72,3.341157941,X,X,Chimpanzee
DNAAF6,1.15E-10,1.179205445,X,X,Chimpanzee
DYNLT3,4.52E-05,1.142563876,X,X,Chimpanzee
EDA,1.53E-05,1.272222979,X,X,Chimpanzee
EFHC2,4.96E-38,1.554368779,X,X,Chimpanzee
EIF1AX,9.07E-15,1.309255828,X,X,Chimpanzee
EMD,1.03E-05,1.445298868,X,X,Chimpanzee
FATE1,2.90E-09,1.74775326,X,X,Chimpanzee
FHL1,1.15E-54,2.400471867,X,X,Chimpanzee
FMR1NB,0.003081121659,1.020250047,X,X,Chimpanzee
FTSJ1,2.05E-07,1.201535416,X,X,Chimpanzee
G6PD,0.0004504492834,1.393634246,X,X,Chimpanzee
GATA1,4.35E-07,1.810726397,X,X,Chimpanzee
GLOD5,0.001534934737,1.502478072,X,X,Chimpanzee
HDAC6,7.92E-39,1.632445588,X,X,Chimpanzee
HDX,3.54E-19,1.252664131,X,X,Chimpanzee
HMGN5,0.002643563712,1.006004488,X,X,Chimpanzee
HPRT1,0.007300727032,1.638479631,X,X,Chimpanzee
HTATSF1,0.0004249164881,3.090541609,X,X,Chimpanzee
HUWE1,6.18E-10,1.192702708,X,X,Chimpanzee
IGBP1,4.24E-15,1.797015279,X,X,Chimpanzee
IL13RA2,2.98E-12,1.306477672,X,X,Chimpanzee
IQSEC2,1.95E-09,1.427860926,X,X,Chimpanzee
JADE3,0.0003056327658,1.731766233,X,X,Chimpanzee
KLHL15,0.007472521159,1.703378219,X,X,Chimpanzee
LAS1L,3.41E-12,1.251325772,X,X,Chimpanzee
MAP7D2,1.22E-17,2.185373173,X,X,Chimpanzee
MAP7D3,1.59E-42,1.842845121,X,X,Chimpanzee
MCTS1,2.41E-07,1.922092681,X,X,Chimpanzee
MORF4L2,2.94E-09,1.014300993,X,X,Chimpanzee
MOSPD1,8.87E-12,1.376984578,X,X,Chimpanzee
MSL3,6.96E-24,1.101468226,X,X,Chimpanzee
MXRA5,0.00303036066,1.054980827,X,X,Chimpanzee
NSDHL,0.002453868714,1.148331963,X,X,Chimpanzee
NXT2,1.34E-05,1.463919086,X,X,Chimpanzee
OCRL,9.52E-35,1.433944142,X,X,Chimpanzee
OFD1,2.36E-51,1.399995382,X,X,Chimpanzee
OPHN1,8.20E-10,1.19875361,X,X,Chimpanzee
OTUD5,0.00349775596,1.671610279,X,X,Chimpanzee
